rank,rikishi,heya,w,l
Ms54e,Bungonishiki,Dewanoumi,4,3
Ms54w,Tochiseiryu,Kasugano,3,4
Ms55e,Mitozakura,Azumazeki,3,4
Ms55w,Mankajo,Kasugayama,4,3
Ms56e,Tamakongo,Kataonami,3,4
Ms56w,Omoto,Irumagawa,5,2
Ms57e,Goryu,Kise,4,3
Ms57w,Komanokuni,Shibatayama,2,5
Ms58e,Sasakiyama,Kise,5,2
Ms58w,Inabamaru,Kise,0,1
Ms59e,Oki,Shikoroyama,3,4
Ms59w,Kiribayama,Michinoku,3,4
Ms60e,Denzan,Otake,1,6
Ms60w,Takagenji,Takanohana,6,1
Sd1e,Kaonishiki,Azumazeki,4,3
Sd1w,Wakayama,Onomatsu,0,0
Sd2e,Kotonoshu,Sadogatake,2,5
Sd2w,Kotodairyu,Sadogatake,2,5
Sd3e,Asakoki,Takasago,4,3
Sd3w,Kainoryu,Tomozuna,5,2
Sd4e,Mizuta,Takanohana,2,5
Sd4w,Rendaiyama,Kise,3,4
Sd5e,Sakae,Sakaigawa,3,4
Sd5w,Hisanotora,Dewanoumi,0,0
Sd6e,Hakunishiki,Kasugayama,4,3
Sd6w,Notoazuma,Tamanoi,3,4
Sd7e,Aoi,Shikoroyama,4,3
Sd7w,Aratoshi,Irumagawa,4,3
Sd8e,Daijo,Takadagawa,2,5
Sd8w,Kasugakuni,Kasugayama,2,5
Sd9e,Chiyonoumi,Kokonoe,7,0
Sd9w,Rikito,Tokitsukaze,4,3
Sd10e,Tochinoshima,Kasugano,3,4
Sd10w,Daikamikaze,Takadagawa,5,2
Sd11e,Fukamiyama,Onoe,4,3
Sd11w,Ryusei,Kagamiyama,6,1
Sd12e,Shingaku,Otake,1,6
Sd12w,Karatsuumi,Tamanoi,3,4
Sd13e,Sumanoumi,Takadagawa,2,5
Sd13w,Hitachigo,Fujishima,4,3
Sd14e,Kyokuhozan,Tomozuna,1,6
Sd14w,Asatenmai,Takasago,4,3
Sd15e,Tsurunoumi,Takadagawa,3,4
Sd15w,Oazuma,Tamanoi,4,3
Sd16e,Haruhikari,Kasugayama,2,5
Sd16w,Tamadaiki,Kataonami,3,4
Sd17e,Kasugamaru,Kasugayama,5,2
Sd17w,Takakiho,Takanohana,3,4
Sd18e,Wakanofuji,Nishonoseki,3,4
Sd18w,Shunba,Isegahama,0,7
Sd19e,Daichi,Shikoroyama,5,2
Sd19w,Masutoo,Chiganoura,5,2
Sd20e,Hokutoshu,Hakkaku,4,3
Sd20w,Daigofuji,Nishikido,1,6
Sd21e,Haruzakura,Kasugayama,1,6
Sd21w,Maeta,Shibatayama,6,1
Sd22e,Hagane,Izutsu,4,3
Sd22w,Onojo,Takadagawa,4,3
Sd23e,Gokushindo,Nishikido,5,2
Sd23w,Koshinishiki,Tatsunami,6,1
Sd24e,Kisenowaka,Kise,3,4
Sd24w,Itadaki,Isenoumi,3,4
Sd25e,Yoshifuji,Isegahama,3,4
Sd25w,Wakarikido,Nishonoseki,1,0
Sd26e,Kirinoryu,Michinoku,4,3
Sd26w,Goshi,Arashio,5,2
Sd27e,Yuki,Michinoku,3,4
Sd27w,Kotoninsei,Sadogatake,2,5
Sd28e,Kawaraumi,Dewanoumi,2,5
Sd28w,Musashikuni,Musashigawa,4,3
Sd29e,Kaorufuji,Kasugano,4,3
Sd29w,Kirinohana,Michinoku,5,2
Sd30e,Hirotsukasa,Irumagawa,5,2
Sd30w,Fujinoumi,Dewanoumi,3,4
Sd31e,Chiyonokatsu,Kokonoe,3,4
Sd31w,Takamai,Takanohana,2,5
Sd32e,Koshinoryu,Fujishima,3,4
Sd32w,Fukunokuni,Kasugayama,3,4
Sd33e,Munakata,Fujishima,4,3
Sd33w,Asanojo,Takasago,2,5
Sd34e,Aomihama,Dewanoumi,5,2
Sd34w,Matsubayama,Kasugayama,6,1
Sd35e,Tokushuzan,Nishonoseki,4,3
Sd35w,Hokutokawa,Hakkaku,4,3
Sd36e,Shunjin,Shikoroyama,6,1
Sd36w,Kosei,Azumazeki,4,3
Sd37e,Hokutohana,Hakkaku,3,4
Sd37w,Irie,Tamanoi,4,3
Sd38e,Awajiumi,Tagonoura,2,5
Sd38w,Tenichi,Yamahibiki,4,3
Sd39e,Takamiryu,Azumazeki,3,4
Sd39w,Kainishiki,Tomozuna,4,3
Sd40e,Orora,Yamahibiki,2,5
Sd40w,Tosayutaka,Tokitsukaze,2,5
Sd41e,Kasugaryu,Kasugayama,3,4
Sd41w,Yotsugamine,Minezaki,4,3
Sd42e,Kitanomine,Hakkaku,3,4
Sd42w,Sadanokuni,Sakaigawa,3,4
Sd43e,Minatosho,Minato,3,4
Sd43w,Ikinoshima,Tamanoi,2,5
Sd44e,Okuma,Takadagawa,5,2
Sd44w,Sadanosato,Sakaigawa,3,4
Sd45e,Daishokaku,Oitekaze,3,4
Sd45w,Hamamiryu,Kise,5,2
Sd46e,Asanotosa,Takasago,5,2
Sd46w,Homarenishiki,Nishikido,3,4
Sd47e,Kotonawa,Sadogatake,1,6
